,Country,Vineyards (hectares),Wine Produced (million hectolitres),Global Exports,Av. Rating,Latitude,Longitude
0,France,"789,000",49.1,29.5,82.3,46.227638,2.213749
1,Italy,"702,000",54.8,19.6,81.1,41.87194,12.56738
2,Spain,"969,000",44.4,9.4,80.2,40.463667,-3.74922
3,United States,"430,000",23.9,3.9,82.6,37.09024,-95.712891
4,China,"875,000",9.3,1.0,69.5,35.86166,104.195397
5,Chile,"212,000",12.9,5.3,78.6,-35.675147,-71.542969
6,Australia,"145,000",12.9,5.8,80.7,-25.274398,133.775136
7,Argentina,"219,000",14.5,2.2,80.0,-38.416097,-63.616672
8,Turkey,"448,000",0.5,0.03,77.9,38.963745,35.243322
9,Germany,"103,000",9.8,3.3,80.9,51.165691,10.451526
10,Portugal,"192,000",6.1,2.5,80.2,39.399872,-8.224454
11,South Africa,"125,000",9.5,2.1,80.3,-30.559482,22.937506
12,Romania,"191,000",5.1,0.1,77.9,45.943161,24.96676
13,New Zealand,"39,000",3.0,3.2,80.9,-40.900557,174.885971
14,Greece,"106,000",2.2,0.3,79.7,39.074208,21.824312
15,Austria,"48,000",2.8,0.6,80.0,47.516231,14.550072
16,Brazil,"82,000",3.1,0.02,78.3,-14.235004,-51.92528
17,Hungary,"69,000",3.6,0.3,77.8,47.162494,19.503304
18,Bulgaria,"64,000",1.0,0.1,80.3,42.733883,25.48583
19,Switzerland,"15,000",1.1,0.4,79.7,46.818188,8.227512
